username,sesame,rps,sleep
Ryphilen,Cookie Monster,Paper,Night owl
aparnakishore,Cookie monster,Rock,Regular Human
tic,Cookie Monster,Scissors,Regular Human
jackieannec,Cookie Monster,paper,Regular Human
Mikokokokoto,Cookie Monster,paper,Regular Human
asummerville,Elmo,Rock,Regular Human
tballard34,Cookie Monster,Rock,Night Owl
sidman00,Count,Rock,Night Owl
Katie Martins,Count,Paper,Night Owl
Kalvinci,Elmo,Rock,Morning bird
elixir-1,Cookie Monster,Paper,Night owl
kothmann1,Elmo,Rock,Night owl
mansouriahmad,Elmo,Rock,Night owl
ShreyesBhat,Cookie Monster,Rock,Night owl
vgcecchetti,Cookie Monster,Rock,Normal Human
